rank,en,frequency
1,the,56271872
2,of,33950064
3,and,29944184
4,to,25956096
5,in,17420636
6,i,11764797
7,that,11073318
8,was,10078245
9,his,8799755
10,he,8397205
11,it,8058110
12,with,7725512
13,is,7557477
14,for,7097981
15,as,7037543
16,had,6139336
17,you,6048903
18,not,5741803
19,be,5662527
20,her,5202501
21,on,5113263
22,at,5091841
23,by,5061050
24,which,4580906
25,have,4346500
26,or,4228287
27,from,4108111
28,this,4015425
29,him,3971997
30,but,3894211
31,all,3703342
32,she,3415846
33,they,3340398
34,were,3323884
35,my,3277699
36,are,3224178
37,me,3027134
38,one,2832569
39,their,2820265
40,so,2802481
41,an,2641417
42,said,2637136
43,them,2509917
44,we,2491655
45,who,2472663
46,would,2400858
47,been,2357654
48,will,2320022
49,no,2241145
50,when,1980046
51,there,1961200
52,if,1951102
53,more,1899787
54,out,1875351
55,up,1792712
56,into,1703963
57,do,1680164
58,any,1665366
59,your,1658553
60,what,1605908
61,has,1602329
62,man,1573117
63,could,1571110
64,other,1533530
65,than,1508779
66,our,1498473
67,some,1476767
68,very,1462382
69,time,1449681
70,upon,1424595
71,about,1414687
72,may,1400642
73,its,1373270
74,only,1318367
75,now,1317723
76,like,1280625
77,little,1273589
78,then,1255636
79,can,1210074
80,should,1192154
81,made,1188501
82,did,1185720
83,us,1171742
84,such,1136757
85,a,1135294
86,great,1120163
87,before,1117089
88,must,1108116
89,two,1093366
90,these,1090510
91,see,1084286
92,know,1075612
93,over,1056659
94,much,1021822
95,down,989808
96,after,978575
97,first,978196
98,Mr,974419
99,good,966602
100,men,923053
101,own,922130
102,never,899673
103,most,889691
104,old,887917
105,shall,883846
106,day,882331
107,where,881975
108,those,878621
109,came,873144
110,come,873007
111,himself,863478
112,way,860027
113,work,829823
114,life,825485
115,without,819684
116,go,816536
117,make,807600
118,well,799596
119,through,792925
120,being,792220
121,long,791686
122,say,788124
123,might,787455
124,how,770603
125,am,761957
126,too,758856
127,even,750750
128,def,748992
129,again,745230
130,many,744168
131,back,740270
132,here,729829
133,think,715780
134,every,704444
135,people,701741
136,went,690186
137,same,689376
138,last,680833
139,thought,674623
140,away,673810
141,under,671168
142,take,656486
143,found,654512
144,hand,648227
145,eyes,647788
146,still,640067
147,place,621773
148,while,613918
149,just,610168
150,also,608042
151,young,591821
152,yet,588615
153,though,570877
154,against,569459
155,things,567559
156,get,564674
157,ever,559207
158,give,554003
159,god,552668
160,years,547420
161,off,545832
162,face,544251
163,nothing,541692
164,right,536737
165,once,534154
166,another,533985
167,left,531797
168,part,526137
169,saw,520922
170,house,517564
171,world,517557
172,head,512481
173,three,502146
174,took,501669
175,new,498040
176,love,496496
177,always,495834
178,Mrs,495443
179,put,495189
180,night,484878
181,each,484599
182,king,479849
183,between,479034
184,tell,475277
185,mind,470313
186,heart,467157
187,few,466338
188,because,465587
189,thing,461472
190,whom,458312
191,far,456267
192,seemed,447884
193,looked,447491
194,called,445602
195,whole,435059
196,de,433393
197,set,432637
198,both,432491
199,got,432016
200,find,431120
201,done,430389
202,heard,429972
203,look,428871
204,name,427021
205,days,426104
206,told,424696
207,let,424320
208,lord,422407
209,country,420788
210,asked,420044
211,going,419315
212,seen,418862
213,better,416463
214,p,415673
215,having,415355
216,home,413499
217,knew,413101
218,side,405810
219,something,398727
220,moment,390988
221,father,387790
222,among,387549
223,course,385303
224,hands,385081
225,woman,384156
226,enough,382266
227,words,380328
228,mother,373898
229,soon,373813
230,full,371831
231,end,369761
232,gave,369036
233,room,366719
234,almost,366630
235,small,359970
236,thou,355857
237,cannot,355656
238,water,355467
239,want,354212
240,however,352828
241,light,351253
242,quite,350537
243,brought,349925
244,nor,349691
245,word,349685
246,whose,344377
247,given,344141
248,door,342388
249,best,337544
250,turned,337367
251,taken,335210
252,does,334332
253,use,333883
254,morning,330567
255,myself,328630
256,Gutenberg,328324
257,felt,326524
258,until,326391
259,since,326386
260,power,326243
261,themselves,325793
262,used,325791
263,rather,325719
264,began,325327
265,present,324509
266,voice,322870
267,others,322643
268,white,322465
269,works,318937
270,less,316490
271,money,315642
272,next,313167
273,poor,311818
274,death,309653
275,stood,308025
276,form,307506
277,within,307223
278,together,304955
279,till,304735
280,thy,304489
281,large,304240
282,matter,301283
283,kind,298191
284,often,296798
285,certain,296795
286,herself,295916
287,year,295745
288,friend,295078
289,half,293866
290,order,293593
291,round,291647
292,true,291427
293,anything,289997
294,keep,289304
295,sent,287876
296,wife,286847
297,means,284431
298,believe,281965
299,passed,279864
300,feet,279821
301,near,278870
302,public,278365
303,state,277682
304,son,277227
305,hundred,275990
306,children,275607
307,thus,275221
308,hope,273746
309,alone,272173
310,above,271641
311,case,271588
312,dear,270503
313,thee,269414
314,says,268542
315,person,267878
316,high,266672
317,read,265947
318,city,265138
319,already,264662
320,received,264606
321,fact,263613
322,gone,263585
323,girl,262689
324,known,262571
325,hear,260746
326,times,260596
327,least,259916
328,perhaps,257964
329,sure,255885
330,indeed,255789
331,english,255212
332,open,254373
333,body,252812
334,itself,251252
335,along,251163
336,land,249677
337,return,249533
338,leave,249063
339,air,247480
340,nature,246792
341,answered,246251
342,either,244426
343,law,244138
344,help,243712
345,lay,242753
346,point,242269
347,child,242201
348,letter,242178
349,four,242099
350,wish,241091
351,fire,240652
352,cried,240280
353,2,240009
354,women,239735
355,speak,239025
356,number,238734
357,therefore,238281
358,hour,237964
359,friends,237481
360,held,235474
361,free,235012
362,war,234544
363,during,233771
364,several,233197
365,business,233158
366,whether,230819
367,er,230485
368,manner,230401
369,second,230300
370,reason,229940
371,replied,229913
372,united,226953
373,call,226661
374,general,226391
375,why,226216
376,behind,226205
377,became,224811
378,john,224569
379,become,224326
380,dead,224049
381,earth,222546
382,boy,222315
383,lost,222264
384,forth,220598
385,thousand,218623
386,looking,218510
387,I'll,218372
388,family,218118
389,soul,217840
390,feel,216356
391,coming,215147
392,England,214339
393,spirit,213257
394,question,213124
395,care,213072
396,truth,212548
397,ground,212369
398,really,211722
399,rest,211668
400,mean,211299
401,different,211043
402,making,210031
403,possible,209099
404,fell,208344
405,towards,208199
406,human,206740
407,kept,206329
408,short,206216
409,town,205687
410,following,205653
411,need,204955
412,cause,204686
413,met,203956
414,evening,203331
415,returned,202041
416,five,201451
417,strong,200224
418,able,200145
419,french,199969
420,live,199658
421,lady,199560
422,subject,198566
423,sn,198498
424,answer,198187
425,sea,198128
426,fear,196739
427,understand,196729
428,hard,196458
429,terms,196252
430,doubt,195905
431,around,195594
432,ask,194903
433,arms,194298
434,turn,192763
435,sense,192719
436,seems,192229
437,black,191272
438,bring,191148
439,followed,190649
440,beautiful,190563
441,close,188915
442,dark,188316
443,hold,186609
444,character,186256
445,sort,186136
446,sight,185862
447,ten,184612
448,show,184074
449,party,184068
